experiment,participant_id,item_index,nll_minitaur,nll_ours,delta_log_likelihood
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,20,7.15625,7.25,-0.09375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,21,2.765625,2.671875,0.09375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,22,0.76171875,0.36328125,0.3984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,23,0.6171875,0.294921875,0.322265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,24,1.296875,1.9375,-0.640625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,25,0.84375,0.73046875,0.11328125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,26,7.678955078125,11.09326171875,-3.414306640625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,27,2.703125,2.84375,-0.140625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,28,7.3583984375,8.9208984375,-1.5625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,29,1.4765625,1.28125,0.1953125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,30,1.09375,1.09375,0.0
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,31,0.76953125,0.65234375,0.1171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,32,1.703125,2.265625,-0.5625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,33,5.625,6.3125,-0.6875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,34,18.0,17.8125,0.1875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,35,6.3125,6.9375,-0.625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,36,0.95703125,0.87890625,0.078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,37,1.4140625,1.796875,-0.3828125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,38,1.359375,1.15625,0.203125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,39,0.953125,1.015625,-0.0625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,40,13.4375,12.59375,0.84375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,41,6.9375,7.09375,-0.15625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,42,8.662109375,10.439453125,-1.77734375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,43,1.03125,0.94140625,0.08984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,44,1.1640625,1.1328125,0.03125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,45,0.921875,0.76171875,0.16015625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,46,0.73046875,0.67578125,0.0546875
