experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,49,5.86572265625,6.83447265625,-0.96875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,50,0.5703125,0.61328125,-0.04296875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,51,1.046875,1.015625,0.03125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,52,0.89453125,0.5546875,0.33984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,53,0.8046875,0.96484375,-0.16015625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,54,2.9375,1.59375,1.34375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,55,8.6875,9.34375,-0.65625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,56,0.97265625,0.9453125,0.02734375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,57,0.796875,0.69921875,0.09765625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,58,3.578125,2.875,0.703125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,59,2.703125,1.984375,0.71875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,60,11.376953125,12.2412109375,-0.8642578125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,61,6.78125,8.5,-1.71875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,62,1.71875,1.5625,0.15625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,63,0.91796875,0.91015625,0.0078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,64,1.15625,0.82421875,0.33203125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,65,0.890625,0.81640625,0.07421875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,0,10.125,10.4375,-0.3125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,1,6.8125,6.65625,0.15625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,2,9.26953125,7.09375,2.17578125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,3,1.6328125,1.390625,0.2421875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,4,1.1796875,1.375,-0.1953125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,5,2.140625,2.46875,-0.328125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,6,1.4453125,0.8984375,0.546875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,7,11.8671875,11.16796875,0.69921875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,8,9.859375,10.03125,-0.171875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,9,8.353515625,8.61328125,-0.259765625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,10,1.0703125,0.578125,0.4921875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,11,1.4453125,2.1875,-0.7421875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,12,1.2890625,0.45703125,0.83203125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,13,0.859375,0.373046875,0.486328125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,14,5.03125,4.34375,0.6875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,15,7.78125,8.2030029296875,-0.4217529296875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,16,5.375,5.25,0.125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,17,1.5078125,1.125,0.3828125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,18,1.0078125,0.39453125,0.61328125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,19,0.515625,0.19140625,0.32421875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,20,0.265625,0.11767578125,0.14794921875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,21,4.5780029296875,3.757781982421875,0.820220947265625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,22,3.62109375,3.0029296875,0.6181640625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,23,4.9375,4.375,0.5625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,24,1.375,1.84375,-0.46875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,25,0.953125,0.5234375,0.4296875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,26,1.59375,1.484375,0.109375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,27,0.73046875,0.78125,-0.05078125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,28,5.694580078125,5.09375,0.600830078125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,29,5.5,4.75,0.75
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,30,3.90625,3.6875,0.21875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,31,0.62890625,0.466796875,0.162109375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,32,0.5234375,0.171875,0.3515625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,33,0.3125,0.0751953125,0.2373046875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,34,1.90625,2.375,-0.46875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,35,3.6962890625,3.513671875,0.1826171875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,36,4.20458984375,4.09765625,0.10693359375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,37,4.2314453125,5.2080078125,-0.9765625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,38,1.171875,0.984375,0.1875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,39,0.94140625,1.171875,-0.23046875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,40,1.21875,1.40625,-0.1875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,41,0.5546875,0.5859375,-0.03125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,42,7.34375,6.671875,0.671875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,43,2.46875,2.78125,-0.3125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,44,2.5625,2.03125,0.53125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,45,2.34375,3.4375,-1.09375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,46,1.5546875,1.375,0.1796875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,47,1.25,1.1640625,0.0859375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,48,1.15625,1.09375,0.0625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,49,11.24951171875,10.818359375,0.43115234375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,50,4.8201904296875,4.952880859375,-0.1326904296875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,51,9.34375,11.34375,-2.0
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,52,3.046875,2.9375,0.109375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,53,1.609375,1.1015625,0.5078125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,54,1.3203125,0.84375,0.4765625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,55,1.0078125,0.6875,0.3203125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,56,1.859375,1.421875,0.4375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,57,4.984375,6.51953125,-1.53515625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,58,1.296875,1.2578125,0.0390625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,59,1.28125,1.125,0.15625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,60,1.046875,1.328125,-0.28125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,61,1.6328125,1.03125,0.6015625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,62,5.0625,5.125,-0.0625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,63,1.171875,1.1015625,0.0703125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,64,2.484375,2.140625,0.34375
