experiment,participant_id,item_index,nll_base,nll_minitaur,delta_log_likelihood
guenther2024substitutions,2,83,6.694580078125,6.764892578125,-0.0703125
guenther2024substitutions,2,84,13.34375,13.34375,0.0
guenther2024substitutions,2,85,9.25,9.359375,-0.109375
guenther2024substitutions,2,86,9.53125,9.421875,0.109375
guenther2024substitutions,2,87,14.96875,14.921875,0.046875
guenther2024substitutions,2,88,2.9375,2.90625,0.03125
guenther2024substitutions,2,89,11.2109375,11.203125,0.0078125
guenther2024substitutions,2,90,15.125,15.125,0.0
guenther2024substitutions,2,91,5.6044921875,5.4091796875,0.1953125
guenther2024substitutions,2,92,6.59375,6.28125,0.3125
guenther2024substitutions,2,93,7.5625,7.671875,-0.109375
guenther2024substitutions,2,94,1.2734375,1.3125,-0.0390625
guenther2024substitutions,2,95,1.53125,1.5625,-0.03125
guenther2024substitutions,2,96,0.73828125,0.78125,-0.04296875
guenther2024substitutions,2,97,2.522705078125,2.65576171875,-0.133056640625
guenther2024substitutions,2,98,14.751953125,14.833984375,-0.08203125
guenther2024substitutions,2,99,5.875,5.875,0.0
guenther2024substitutions,2,100,12.64697265625,12.5107421875,0.13623046875
guenther2024substitutions,2,101,24.03125,24.0625,-0.03125
guenther2024substitutions,2,102,14.6171875,14.3359375,0.28125
guenther2024substitutions,2,103,21.0625,21.3125,-0.25
guenther2024substitutions,2,104,4.125,4.0625,0.0625
guenther2024substitutions,2,105,1.1455078125,1.22314453125,-0.07763671875
guenther2024substitutions,2,106,16.734375,16.765625,-0.03125
guenther2024substitutions,2,107,8.85498046875,8.92138671875,-0.06640625
guenther2024substitutions,2,108,8.55859375,8.8984375,-0.33984375
guenther2024substitutions,2,109,2.8671875,3.140625,-0.2734375
guenther2024substitutions,2,110,9.734375,9.859375,-0.125
guenther2024substitutions,2,111,1.8671875,1.8203125,0.046875
guenther2024substitutions,2,112,9.75,9.296875,0.453125
guenther2024substitutions,2,113,13.21875,12.953125,0.265625
guenther2024substitutions,2,114,8.90234375,8.70703125,0.1953125
guenther2024substitutions,2,115,3.4375,3.46875,-0.03125
guenther2024substitutions,2,116,14.15625,14.0,0.15625
guenther2024substitutions,2,117,6.0,5.96875,0.03125
guenther2024substitutions,2,118,5.5155029296875,5.5155029296875,0.0
guenther2024substitutions,2,119,15.0,14.890625,0.109375
guenther2024substitutions,2,120,1.741943359375,1.726318359375,0.015625
guenther2024substitutions,2,121,10.671875,10.484375,0.1875
guenther2024substitutions,2,122,13.0,12.75,0.25
guenther2024substitutions,2,123,3.83447265625,3.904296875,-0.06982421875
guenther2024substitutions,2,124,10.625,10.5625,0.0625
guenther2024substitutions,2,125,7.95166015625,7.95166015625,0.0
guenther2024substitutions,2,126,21.75,21.84375,-0.09375
guenther2024substitutions,2,127,1.533203125,1.384765625,0.1484375
guenther2024substitutions,2,128,2.66796875,2.73046875,-0.0625
guenther2024substitutions,2,129,5.8671875,5.7421875,0.125
guenther2024substitutions,2,130,3.890625,3.90625,-0.015625
guenther2024substitutions,2,131,1.1171875,1.046875,0.0703125
guenther2024substitutions,2,132,16.421875,16.296875,0.125
guenther2024substitutions,2,133,6.484375,6.25,0.234375
guenther2024substitutions,2,134,3.296875,3.53125,-0.234375
guenther2024substitutions,2,135,4.4296875,4.4609375,-0.03125
guenther2024substitutions,2,136,4.3125,4.34375,-0.03125
guenther2024substitutions,2,137,14.6875,14.53125,0.15625
